NAME,SUB,ID,POP,DEM,REP,SHARE,VC,RATE,YEAR
"Abilene, TX Metro Area",abilene,10180,176579,16321,51219,100,458,0.259373991,2019
"Akron, OH Metro Area",akron,10420,702219,187329,170823,100,1782,0.253766987,2019
"Albany, GA Metro Area",albanyga,10500,148922,33897,31282,100,790,0.530479043,2019
"Albany-Lebanon, OR Metro Area",albanyor,10540,128610,26512,43486,100,70,0.054428116,2019
"Albany-Schenectady-Troy, NY Metro Area",albany,10580,899262,256724,188930,100,736,0.081844891,2019
"Albuquerque, NM Metro Area",albuquerque,10740,916528,250952,172445,100,7596,0.828779917,2019
"Alexandria, LA Metro Area",centrallouisiana,10780,152192,20632,46464,100,732,0.480971405,2019
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",lehighvalley,10900,861889,219488,224866,100,471,0.054647408,2019
"Altoona, PA Metro Area",altoona,11020,122822,17636,45306,100,264,0.214945205,2019
"Amarillo, TX Metro Area",amarillo,11100,268761,23176,78347,100,1447,0.538396568,2019
"Ames, IA Metro Area",ames,11180,125252,35478,29035,100,135,0.10778271,2019
"Anchorage, AK Metro Area",anchorage,11260,398328,85169,110526,100,3581,0.899007853,2019
"Ann Arbor, MI Metro Area",annarbor,11460,372258,157136,56241,100,309,0.083006947,2019
"Anniston-Oxford, AL Metro Area",oxfordal,11500,116441,15216,35101,100,646,0.554787403,2018
"Appleton, WI Metro Area",appleton,11540,243147,59783,76541,100,206,0.084722411,2019
"Asheville, NC Metro Area",asheville,11700,469015,141771,133257,100,695,0.148182894,2019
"Athens-Clarke County, GA Metro Area",athens,12020,215415,50067,47963,100,770,0.357449574,2017
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",atlanta,12060,6089815,1684934,1203788,100,13276,0.218003338,2017
"Atlantic City-Hammonton, NJ Metro Area",atlanticcity,12100,274534,73808,64438,100,323,0.117653915,2019
"Auburn-Opelika, AL Metro Area",opelika,12220,174241,27860,42221,100,240,0.137740256,2018
"Augusta-Richmond County, GA-SC Metro Area",augusta,12260,611000,136387,148135,100,1548,0.253355155,2017
"Austin-Round Rock-Georgetown, TX Metro Area",austin,12420,2283371,661325,377293,100,3953,0.173121232,2019
"Bakersfield, CA Metro Area",bakersfield,12540,909235,133366,164484,100,1766,0.194229215,2019
"Baltimore-Columbia-Towson, MD Metro Area",baltimore,12580,2844510,878185,507676,100,11101,0.390260537,2019
"Bangor, ME Metro Area",bangor,12620,152199,37713,44825,100,35,0.022996209,2019
"Barnstable Town, MA Metro Area",capecod,12700,228996,91994,55311,100,178,0.077730615,2019
"Baton Rouge, LA Metro Area",batonrouge,12940,870569,179863,226976,100,2066,0.237316054,2019
"Battle Creek, MI Metro Area",battlecreek,12980,134310,28877,36221,100,568,0.422902241,2019
"Bay City, MI Metro Area",baycitymichigan,13020,103856,26151,33125,100,271,0.260938222,2019
"Beaumont-Port Arthur, TX Metro Area",beaumont,13140,397565,55904,100614,100,1241,0.312150214,2019
"Beckley, WV Metro Area",beckleywv,13220,115079,13045,36253,100,147,0.127738336,2018
"Bellingham, WA Metro Area",bellingham,13380,226847,83660,50489,100,251,0.110647264,2019
"Bend, OR Metro Area",bend,13460,198253,65962,55646,100,154,0.077678522,2019
"Billings, MT Metro Area",billings,13740,184167,34256,59702,100,598,0.324705295,2018
"Binghamton, NY Metro Area",binghamton,13780,247138,56636,58582,100,355,0.143644442,2019
"Birmingham-Hoover, AL Metro Area",birmingham,13820,1115289,230399,303030,100,4025,0.360893006,2018
"Bismarck, ND Metro Area",bismarck,13900,133626,18349,47905,100,228,0.170625477,2019
"Blacksburg-Christiansburg, VA Metro Area",blacksburg,13980,166378,33657,42418,100,50,0.03005205,2019
"Bloomington, IL Metro Area",bloomingtonnormal,14010,170954,43933,40502,100,387,0.226376686,2019
"Bloomington, IN Metro Area",bloomington,14020,161039,42281,29357,100,463,0.287507995,2018
"Bloomsburg-Berwick, PA Metro Area",bloomsburg,14100,82863,14303,25942,100,35,0.042238393,2018
"Boise City, ID Metro Area",boise,14260,764718,150243,207713,100,649,0.084867886,2019
"Boston-Cambridge-Newton, MA-NH Metro Area",boston,14460,4941632,1743643,803274,100,4244,0.085882559,2019
"Boulder, CO Metro Area",boulder,14500,330758,159089,42501,100,278,0.084049365,2019
"Bowling Green, KY Metro Area",bowlinggreen,14540,179639,26427,49166,100,203,0.113004414,2019
"Bremerton-Silverdale-Port Orchard, WA Metro Area",bremerton,14740,275611,90277,61563,100,168,0.060955477,2019
"Bridgeport-Stamford-Norwalk, CT Metro Area",stamfordct,14860,957419,297505,168445,100,843,0.088049224,2019
"Brownsville-Harlingen, TX Metro Area",brownsville,15180,421017,64063,49032,100,776,0.184315598,2019
"Brunswick, GA Metro Area",brunswickga,15260,113495,19194,36626,100,517,0.455526675,2017
"Buffalo-Cheektowaga, NY Metro Area",buffalo,15380,1166902,313299,253620,100,2533,0.217070499,2019
"Burlington, NC Metro Area",burlingtonnc,15500,225562,38825,46056,100,460,0.20393506,2019
"Burlington-South Burlington, VT Metro Area",burlington,15540,171415,91477,34101,100,174,0.101508036,2019
"California-Lexington Park, MD Metro Area",somd,15680,113777,23138,30826,100,215,0.188966136,2020
"Canton-Massillon, OH Metro Area",canton,15940,401574,79155,121842,100,981,0.244288724,2019
"Cape Coral-Fort Myers, FL Metro Area",capecoral,15980,760822,157695,233247,100,226,0.029704714,2019
"Cape Girardeau, MO-IL Metro Area",capegirardeau,16020,97517,12624,35560,100,233,0.238932699,2019
"Carbondale-Marion, IL Metro Area",carbondale,16060,133435,22668,38750,100,208,0.155881141,2019
"Carson City, NV Metro Area",carsoncity,16180,58639,12735,16113,100,154,0.262623851,2016
"Casper, WY Metro Area",casper,16220,79955,8530,25271,100,169,0.211368895,2019
"Cedar Rapids, IA Metro Area",cedarrapids,16300,276520,80247,69124,100,345,0.124764936,2019
"Chambersburg-Waynesboro, PA Metro Area",chambersburg,16540,155932,22422,57245,100,59,0.037837006,2019
"Champaign-Urbana, IL Metro Area",champaign,16580,222538,60396,41533,100,827,0.371621925,2019
"Charleston, WV Metro Area",charlestonwv,16620,258859,41944,71998,100,331,0.12786884,2018
"Charleston-North Charleston, SC Metro Area",charleston,16700,799636,200532,192607,100,516,0.064529361,2019
"Charlotte-Concord-Gastonia, NC-SC Metro Area",charlotte,16740,2660329,680904,675531,100,6982,0.262448742,2019
"Charlottesville, VA Metro Area",charlottesville,16820,221524,79066,35576,100,157,0.070872682,2019
"Chattanooga, TN-GA Metro Area",chattanooga,16860,562647,93960,162280,100,1946,0.345865169,2019
"Cheyenne, WY Metro Area",cheyenne,16940,100512,15217,27891,100,220,0.218879338,2019
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",chicago,16980,9618502,2883015,1475610,100,25532,0.26544674,2019
"Chico, CA Metro Area",chicoca,17020,211632,50426,48730,100,557,0.263192712,2019
"Cincinnati, OH-KY-IN Metro Area",cincinnati,17140,2256884,487184,647633,100,2562,0.113519348,2019
"Clarksville, TN-KY Metro Area",clarksville,17300,320535,43791,67704,100,926,0.288892009,2019
"Cleveland, TN Metro Area",clevelandtn,17420,126164,11343,41996,100,464,0.367775277,2019
"Cleveland-Elyria, OH Metro Area",cleveland,17460,2088251,608358,454238,100,5791,0.277313407,2019
"Coeur d'Alene, ID Metro Area",coeurdalene,17660,171362,24312,62837,100,132,0.077029913,2019
"College Station-Bryan, TX Metro Area",collegestation,17780,268248,39511,59919,100,225,0.083877606,2019
"Colorado Springs, CO Metro Area",coloradosprings,17820,755105,167219,214069,100,2806,0.371603949,2019
"Columbia, MO Metro Area",columbiamo,17860,210864,53726,48471,100,401,0.190169967,2019
"Columbia, SC Metro Area",columbiasc,17900,829470,208820,186741,100,1037,0.125019591,2019
"Columbus, GA-AL Metro Area",columbusga,17980,328883,71406,59638,100,2015,0.612679889,2017
"Columbus, IN Metro Area",columbusin,18020,82208,12934,22410,100,67,0.081500584,2019
"Columbus, OH Metro Area",columbus,18140,2138926,567327,480172,100,4561,0.213237859,2019
"Corpus Christi, TX Metro Area",corpus,18580,421933,69913,81133,100,2616,0.62000365,2019
"Corvallis, OR Metro Area",corvallis,18700,95184,35827,14878,100,94,0.098756093,2018
"Crestview-Fort Walton Beach-Destin, FL Metro Area",destin,18880,286973,44586,112745,100,96,0.033452624,2019
"Cumberland, MD-WV Metro Area",cumberland_maryland,19060,95044,11818,30926,100,151,0.158873785,2019
"Dallas-Fort Worth-Arlington, TX Metro Area",dallas,19100,7637387,1535525,1466387,100,11764,0.154031739,2019
"Dalton, GA Metro Area",daltonga,19140,142837,12981,38588,100,429,0.300342348,2017
"Danville, IL Metro Area",danvilleil,19180,74188,10323,20725,100,536,0.722488812,2019
"Daphne-Fairhope-Foley, AL Metro Area",baldwincountyal,19300,231767,24578,83544,100,36,0.015532841,2018
"Davenport-Moline-Rock Island, IA-IL Metro Area",quadcities,19340,384324,96694,93004,100,609,0.158460049,2019
"Dayton-Kettering, OH Metro Area",dayton,19430,814049,185525,222477,100,1351,0.165960526,2019
"Decatur, AL Metro Area",decaturalabama,19460,156494,16796,51986,100,228,0.145692487,2018
"Decatur, IL Metro Area",decaturillinois,19500,103998,19847,28589,100,375,0.360583857,2019
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",deltona,19660,668921,158736,216864,100,803,0.120044071,2019
"Denver-Aurora-Lakewood, CO Metro Area",denver,19740,2963821,1024844,603431,100,5459,0.184187911,2019
"Des Moines-West Des Moines, IA Metro Area",desmoines,19780,709466,201603,181588,100,1555,0.219178932,2019
"Detroit-Warren-Dearborn, MI Metro Area",detroit,19820,4392041,1351220,1026036,100,13040,0.296900689,2019
"Dothan, AL Metro Area",dothan,20020,151007,17118,50073,100,670,0.443688041,2018
"Dover, DE Metro Area",doverde,20100,181851,44552,41009,100,334,0.183666848,2019
"Dubuque, IA Metro Area",dubuque,20220,99266,25657,27214,100,110,0.11081337,2019
"Duluth, MN-WI Metro Area",duluth,20260,291638,94667,73124,100,292,0.100124126,2019
"Durham-Chapel Hill, NC Metro Area",bullcity,20500,649903,258099,103652,100,2046,0.314816211,2019
"East Stroudsburg, PA Metro Area",stroudsburg,20700,168327,44060,38726,100,66,0.039209396,2018
"Eau Claire, WI Metro Area",eau_claire,20740,172007,45603,46658,100,191,0.111041992,2019
"El Centro, CA Metro Area",calexicoca,20940,179702,34678,20847,100,143,0.079576187,2019
"El Paso, TX Metro Area",elpaso,21300,868859,178497,85110,100,2422,0.278756392,2019
"Elizabethtown-Fort Knox, KY Metro Area",elizabethtown,21340,155572,23237,45702,100,49,0.03149667,2019
"Elkhart-Goshen, IN Metro Area",elkhart,21060,207047,26108,46972,100,624,0.301380846,2018
"Elmira, NY Metro Area",elmirany,21140,84148,16636,21922,100,83,0.098635737,2019
"Enid, OK Metro Area",enidamerica,21420,62846,4919,16970,100,204,0.324602998,2019
"Erie, PA Metro Area",erie,21500,270876,68286,66869,100,476,0.175726163,2019
"Eugene-Springfield, OR Metro Area",eugene,21660,382971,134366,80336,100,661,0.172597925,2019
"Evansville, IN-KY Metro Area",evansville,21780,314049,57738,85106,100,721,0.229582008,2019
"Fairbanks, AK Metro Area",fairbanks,21820,95655,17033,22028,100,247,0.258219644,2019
"Fargo, ND-MN Metro Area",fargo,22020,249843,56668,57662,100,574,0.229744279,2019
"Farmington, NM Metro Area",fourcorners,22140,121661,18083,32874,100,593,0.487419962,2018
"Fayetteville, NC Metro Area",fayettenam,22180,520378,118366,104662,100,1835,0.352628282,2019
"Fayetteville-Springdale-Rogers, AR Metro Area",fayetteville,22220,546725,87636,127127,100,396,0.072431295,2019
"Flagstaff, AZ Metro Area",flagstaff,22380,145101,44698,27052,100,367,0.252927271,2019
"Flint, MI Metro Area",flint,22420,406211,119390,98714,100,1284,0.316091883,2019
"Florence, SC Metro Area",florencesc,22500,199964,46373,49447,100,447,0.223540237,2019
"Florence-Muscle Shoals, AL Metro Area",florenceal,22520,150791,20258,50924,100,206,0.136612928,2018
"Fond du Lac, WI Metro Area",fonddulac,22540,104154,20588,35754,100,134,0.128655645,2019
"Fort Collins, CO Metro Area",fortcollins,22660,359066,126120,91489,100,371,0.103323623,2019
"Fort Smith, AR-OK Metro Area",ftsmithar,22900,244310,23781,67595,100,863,0.353239736,2019
"Fort Wayne, IN Metro Area",fortwayne,23060,419601,77423,104945,100,974,0.232125281,2019
"Fresno, CA Metro Area",fresno,23420,1008654,193025,164464,100,2953,0.2927664,2018
"Gadsden, AL Metro Area",gadsden,23460,103436,11567,35528,100,372,0.359642678,2018
"Gainesville, FL Metro Area",gnv,23540,339247,97609,75616,100,928,0.273547003,2019
"Gainesville, GA Metro Area",gainesvillega,23580,203136,25033,64183,100,784,0.38594833,2017
"Gettysburg, PA Metro Area",gettysburg,23900,103852,18207,37523,100,30,0.028887263,2018
"Glens Falls, NY Metro Area",glensfalls,24020,127039,29207,33640,100,28,0.022040476,2019
"Goldsboro, NC Metro Area",goldsboronc,24140,117333,24215,30709,100,267,0.227557465,2019
"Grand Forks, ND-MN Metro Area",grandforks,24220,104362,18319,26852,100,166,0.159061727,2019
"Grand Island, NE Metro Area",gineb,24260,77038,9072,22394,100,236,0.306342325,2019
"Grand Junction, CO Metro Area",grandjunction,24300,155703,31536,56894,100,235,0.15092837,2019
"Grand Rapids-Kentwood, MI Metro Area",grandrapids,24340,1087592,273224,309126,100,1286,0.11824287,2019
"Grants Pass, OR Metro Area",grantspass,24420,88090,18451,31751,100,135,0.153252356,2019
"Great Falls, MT Metro Area",greatfalls,24500,84414,15456,23315,100,302,0.357760561,2019
"Greeley, CO Metro Area",greeley,24540,328981,66060,96145,100,386,0.117332004,2019
"Green Bay, WI Metro Area",greenbay,24580,328268,76202,100024,100,529,0.161148817,2019
"Greensboro-High Point, NC Metro Area",gso,24660,776566,204696,195489,100,2440,0.314203815,2019
"Greenville, NC Metro Area",greenvillencarolina,24780,170243,38982,47252,100,437,0.256691905,2019
"Greenville-Anderson, SC Metro Area",greenville,24860,928195,154003,280497,100,402,0.043309865,2019
"Gulfport-Biloxi, MS Metro Area",biloxi,25060,416259,51409,105213,100,236,0.056695471,2019
"Hagerstown-Martinsburg, MD-WV Metro Area",hagerstown,25180,293844,45228,80040,100,213,0.072487442,2019
"Hammond, LA Metro Area",hammond,25220,133157,18887,37806,100,299,0.224546963,2018
"Hanford-Corcoran, CA Metro Area",hanford,25260,152486,18699,24072,100,257,0.168540063,2019
"Harrisburg-Carlisle, PA Metro Area",harrisburg,25420,591712,147178,161913,100,443,0.074867503,2019
"Harrisonburg, VA Metro Area",harrisonburg,25500,135571,23666,35940,100,112,0.082613538,2019
"Hartford-East Hartford-Middletown, CT Metro Area",hartford,25540,1213531,384367,234527,100,1049,0.086441962,2019
"Hattiesburg, MS Metro Area",hattiesburg,25620,172231,25873,48348,100,106,0.06154525,2019
"Hickory-Lenoir-Morganton, NC Metro Area",hickorync,25860,365276,53197,135614,100,165,0.045171323,2019
"Hilton Head Island-Bluffton, SC Metro Area",hiltonhead,25940,215908,50604,60272,100,645,0.298738352,2018
"Hinesville, GA Metro Area",hinesvillega,25980,81424,15139,11486,100,419,0.514590293,2017
"Homosassa Springs, FL Metro Area",homosassa,26140,153843,27092,65352,100,399,0.259355317,2017
"Hot Springs, AR Metro Area",hotsprings,26300,100180,14045,29069,100,241,0.240566979,2019
"Houma-Thibodaux, LA Metro Area",houma,26380,207137,19870,70363,100,209,0.100899405,2019
"Houston-The Woodlands-Sugar Land, TX Metro Area",houston,26420,7122240,1330116,1302436,100,25257,0.35462158,2019
"Huntington-Ashland, WV-KY-OH Metro Area",huntingtonwv,26580,359862,49047,110780,100,330,0.091701819,2019
"Huntsville, AL Metro Area",huntsvillealabama,26620,491723,100958,137420,100,1787,0.363415988,2016
"Idaho Falls, ID Metro Area",idahofalls,26820,157429,16103,51106,100,172,0.109255601,2019
"Indianapolis-Carmel-Anderson, IN Metro Area",indianapolis,26900,2111040,460951,483480,100,11170,0.529123086,2018
"Iowa City, IA Metro Area",iowacity,26980,175419,63738,29896,100,167,0.095200634,2019
"Ithaca, NY Metro Area",ithaca,27060,105740,33619,11096,100,41,0.038774352,2019
"Jackson, MI Metro Area",jacksonmi,27100,160366,31995,47372,100,360,0.224486487,2019
"Jackson, MS Metro Area",jacksonms,27140,591978,139428,127213,100,1668,0.281767228,2012
"Jackson, TN Metro Area",jacksontn,27180,180504,26955,50827,100,650,0.360102823,2019
"Jacksonville, FL Metro Area",jacksonville,27260,1605848,372324,483665,100,5886,0.366535313,2019
"Jacksonville, NC Metro Area",onslowcounty,27340,204576,24266,46078,100,250,0.122203973,2018
"Janesville-Beloit, WI Metro Area",janesville,27500,163687,46658,37138,100,148,0.090416466,2019
"Jefferson City, MO Metro Area",jeffersoncity,27620,150309,20909,53070,100,119,0.079170243,2019
"Johnson City, TN Metro Area",johnsoncity,27740,207285,24782,66627,100,286,0.137974287,2019
"Johnstown, PA Metro Area",johnstown,27780,133472,21730,48085,100,240,0.179812994,2018
"Jonesboro, AR Metro Area",jonesboro,27860,134196,13345,31476,100,537,0.400160959,2019
"Joplin, MO Metro Area",joplinmo,27900,181409,19367,59848,100,307,0.169230854,2019
"Kahului-Wailuku-Lahaina, HI Metro Area",maui,27980,164754,47305,22126,100,449,0.272527526,2019
"Kalamazoo-Portage, MI Metro Area",kzoo,28020,261670,83686,56823,100,949,0.362670539,2019
"Kankakee, IL Metro Area",kankakee,28100,107502,20271,28532,100,236,0.219530799,2019
"Kansas City, MO-KS Metro Area",kansascity,28140,2192035,559595,508524,100,7099,0.323854318,2019
"Kennewick-Richland, WA Metro Area",tricitieswa,28420,303622,52046,78404,100,253,0.083327295,2019
"Killeen-Temple, TX Metro Area",killeen,28660,475367,66723,91417,100,583,0.122642085,2019
"Kingsport-Bristol, TN-VA Metro Area",tricities,28700,307614,31977,112354,100,332,0.107927468,2019
"Kingston, NY Metro Area",hudsonvalley,28740,181851,57970,37590,20.7,68,0.037393251,2019
"Knoxville, TN Metro Area",knoxville,28940,879773,138943,262100,100,1259,0.143105096,2019
"Kokomo, IN Metro Area",kokomo,29020,83658,13303,26449,100,392,0.468574434,2019
"La Crosse-Onalaska, WI-MN Metro Area",lacrossewi,29100,139627,42699,35018,100,122,0.087375651,2019
"Lafayette, LA Metro Area",lafayettela,29180,478384,69603,156499,100,664,0.138800629,2019
"Lafayette-West Lafayette, IN Metro Area",lafayette,29200,223716,39224,48075,100,352,0.157342345,2019
"Lake Charles, LA Metro Area",lakecharles,29340,222402,26306,58737,100,413,0.185699769,2019
